"Code";"Attribuutwaarde";"Definitie attribuutwaarde";"Herkomst definitie";"Inwinningscriteria";"Volledigheid";"Punt";"Lijn";"Vlak";"Datum vanaf";"Datum tot"
"1";"akkerland";"Terreindeel in gebruik als akker, met gewassen die in een teelt-roulatieschema zijn opgenomen. Kan tijdelijk zonder gewas zijn of braak liggen.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"2";"basaltblokken, steenglooiing";"Dijkversteviging m.b.v. stenen, tegels, basaltblokken, stortsteen (geen asfalt of bitumen) of een golfslagbreker, stroombreker of strekdam langs de kust en in rivieren.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"3";"boomgaard";"Terrein begroeid met hoogstamfruitbomen.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"4";"boomkwekerij";"Terrein, overwegend in gebruik t.b.v. het opkweken van bomen (inclusief coniferen en sparren) en struiken, waarbij de hoogte van de aanplant niet van belang is.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"5";"duin";"Verhoging of heuvel van zand of fijne losse aarde en verpulverd gesteente opgeworpen door wind of door stromend water.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"6";"erf";"Terreindeel dat bij een pand of overig bouwwerk hoort, dat niet nader wordt ingewonnen en dat bestaat uit een mengvorm van begroeiing, verharding, en/of water.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"7";"fruitkwekerij";"Terrein begroeid met laagstamfruitbomen, druivenstokken of begroeid met heesters voor zachtfruit zoals bessen of frambozen.";"SOR";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"8";"gemengd bos";"Terreindeel begroeid met een dusdanige aantal naald- en loofbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"9";"grasland agrarisch";"Terreindeel met een vegetatie bestaande uit grassen en of grasachtigen, en met de in graslanden voorkomende kruiden, zijnde cultuurgrasland dat in gebruik is voor de veeteelt, bijvoorbeeld als weiland of als hooiland.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"10";"grasland overig";"Terreindeel met een vegetatie bestaande uit grassen en of grasachtigen, en met de in graslanden voorkomende kruiden, dat niet in gebruik is voor agrarische doeleinden.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"11";"griend en hakhout";"Terreindeel met opgaande begroeiing van loofbomen, in een dicht groeiverband, en die periodiek wordt afgezet.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"12";"heide";"Terreindeel overwegend begroeid met heide en heideachtige vegetaties.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"13";"houtwal";"Terreindeel zijnde een afscheiding met beperkte breedte en beplant met bomen of struiken.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"14";"kwelder";"Buitendijks gelegen aangeslibd land van een wad, dat bij gewone vloed niet meer onder loopt.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"15";"loofbos";"Terreindeel begroeid met een dusdanige aantal loofbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"16";"moeras";"Terreindeel met moerasvegetatie in stilstaand water van geringe diepte zonder merkbare toe- of afvloeiing.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"17";"naaldbos";"Terreindeel begroeid met een dusdanige aantal naaldbomen dat deze een min of meer gesloten geheel vormen of, na volgroeiing van de bomen, zullen vormen.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"18";"rietland";"Terreindeel overwegend begroeid met rietvegetatie.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"19";"struiken";"Terreindeel bedekt met niet-gecultiveerde (natuurlijke), lage, houtachtige, overblijvende planten gekenmerkt door verschillende vertakkingen dicht bij de wortel en afwezigheid van opvallende stammen.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"20";"zand";"Terreindeel dat grotendeels bedekt is met zand.";"BGT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
"21";"ongeclassificeerd";"Het typeTerrein is anders dan de beschikbare attribuutwaarden.";"BRT";"-";"-";"nee";"nee";"ja";"01-01-2025";"-"
